Year (year),Report Period (quarter),State Name (state_name),Age Group (age_group),Gender (gender),Unemployment Rate (value),State Code (state_code)
"2021","January-March","Gujarat","15-29 Years","Female","10.4","24"
"2020","July-September","West Bengal","All","Person","10.7","19"
"2023","January-March","Uttarakhand","15 Years And Above","Female","8.6","05"
"2024","January-March","Jammu And Kashmir","15 Years And Above","Person","11.0","01"
"2023","April-June","Madhya Pradesh","All","Person","7.7","23"
"2021","October-December","Madhya Pradesh","15 Years And Above","Female","10.1","23"
"2024","January-March","Uttarakhand","15 Years And Above","Female","16.4","05"
"2022","April-June","Jammu And Kashmir","15 Years And Above","Female","29.3","01"
"2019","April-June","Karnataka","15-29 Years","Male","11.6","29"
"2021","July-September","Andhra Pradesh","15-29 Years","Person","22.2","28"
"2019","October-December","Uttar Pradesh","All","Female","9.0","09"
"2021","April-June","Jammu And Kashmir","15 Years And Above","Female","34.3","01"
"2024","January-March","Haryana","15 Years And Above","Female","4.1","06"
"2022","October-December","Karnataka","All","Female","5.8","29"
"2019","January-March","Chhattisgarh","15 Years And Above","Male","8.7","22"
"2023","July-September","Karnataka","All","Person","4.2","29"
"2021","April-June","Delhi","All","Person","7.9","07"
"2019","January-March","Punjab","15 Years And Above","Female","11.9","03"
"2022","July-September","West Bengal","15 Years And Above","Male","4.2","19"
"2023","October-December","Jharkhand","15 Years And Above","Male","7.9","20"
"2021","July-September","Gujarat","15-29 Years","Male","11.7","24"
"2023","April-June","Jammu And Kashmir","15 Years And Above","Person","10.9","01"
"2022","July-September","Jammu And Kashmir","15 Years And Above","Person","13.0","01"
"2020","January-March","Gujarat","15-29 Years","Person","8.7","24"
"2020","July-September","Chhattisgarh","15-29 Years","Male","32.1","22"
"2024","January-March","Delhi","15 Years And Above","Person","1.8","07"
"2019","April-June","Himachal Pradesh","15 Years And Above","Male","9.1","02"
"2020","January-March","Jammu And Kashmir","15 Years And Above","Male","10.2","01"
"2022","October-December","Assam","15-29 Years","Female","44.5","18"
"2020","January-March","Uttarakhand","All","Person","9.6","05"
"2018","October-December","Tamil Nadu","15-29 Years","Female","23.5","33"
"2019","October-December","Punjab","15 Years And Above","Female","16.8","03"
"2019","April-June","Andhra Pradesh","15-29 Years","Person","29.4","28"
"2023","April-June","Kerala","15-29 Years","Female","45.1","32"
"2022","July-September","Rajasthan","15 Years And Above","Female","20.0","08"
"2019","October-December","Himachal Pradesh","15-29 Years","Person","15.6","02"
"2020","October-December","West Bengal","15 Years And Above","Person","6.7","19"
"2018","July-September","Himachal Pradesh","All","Male","8.5","02"
"2018","October-December","Gujarat","15 Years And Above","Person","4.5","24"
"2020","October-December","Kerala","All","Person","16.7","32"
"2020","January-March","Haryana","15 Years And Above","Male","6.9","06"
"2022","January-March","Odisha","15 Years And Above","Female","21.0","21"
"2020","April-June","Jammu And Kashmir","All","Female","37.9","01"
"2022","July-September","West Bengal","All","Person","4.2","19"
"2023","October-December","Haryana","15 Years And Above","Male","3.5","06"
"2018","October-December","Uttarakhand","15-29 Years","Male","26.1","05"
"2022","October-December","Uttar Pradesh","All","Female","11.1","09"
"2022","January-March","Jharkhand","All","Female","8.3","20"
"2021","January-March","Bihar","All","Male","7.6","10"
"2019","October-December","Tamil Nadu","15 Years And Above","Male","7.0","33"
"2023","January-March","Chhattisgarh","All","Female","18.6","22"
"2021","January-March","West Bengal","15 Years And Above","Female","3.7","19"
"2019","April-June","Odisha","All","Person","14.6","21"
"2021","October-December","Andhra Pradesh","15-29 Years","Person","20.7","28"
"2020","April-June","All-India","15 Years And Above","Person","20.8","99"
"2023","October-December","Delhi","15 Years And Above","Person","3.3","07"
"2020","October-December","Bihar","15 Years And Above","Male","8.9","10"
"2021","January-March","Madhya Pradesh","15-29 Years","Female","21.9","23"
"2022","October-December","Haryana","All","Male","9.4","06"
"2018","October-December","Punjab","15-29 Years","Person","17.1","03"
"2022","October-December","Telangana","15-29 Years","Female","27.4","36"
"2022","April-June","All-India","15 Years And Above","Male","7.1","99"
"2021","October-December","Karnataka","15-29 Years","Male","13.5","29"
"2019","October-December","Jharkhand","15 Years And Above","Female","5.0","20"
"2023","July-September","Delhi","15-29 Years","Male","9.5","07"
"2021","January-March","Uttarakhand","15-29 Years","Person","34.5","05"
"2020","January-March","Jharkhand","All","Person","11.8","20"
"2022","January-March","West Bengal","15-29 Years","Female","13.1","19"
"2022","October-December","Haryana","15-29 Years","Person","29.9","06"
"2019","April-June","Assam","15 Years And Above","Person","10.5","18"
"2020","October-December","Tamil Nadu","15-29 Years","Person","23.6","33"
"2021","July-September","Uttarakhand","All","Person","17.4","05"
"2020","January-March","Punjab","15-29 Years","Male","19.6","03"
"2020","April-June","Delhi","15 Years And Above","Person","17.9","07"
"2021","October-December","Punjab","15 Years And Above","Male","7.2","03"
"2019","July-September","Uttarakhand","All","Male","7.3","05"
"2022","April-June","Rajasthan","15-29 Years","Person","32.4","08"
"2020","July-September","West Bengal","15-29 Years","Person","22.9","19"
"2021","April-June","Assam","15 Years And Above","Female","21.1","18"
"2018","July-September","Maharashtra","15 Years And Above","Male","8.2","27"
"2023","April-June","Assam","All","Male","3.6","18"
"2022","January-March","Himachal Pradesh","15 Years And Above","Person","10.5","02"
"2021","April-June","Rajasthan","15 Years And Above","Female","20.2","08"
"2018","July-September","Chhattisgarh","15-29 Years","Female","29.2","22"
"2019","April-June","Uttar Pradesh","15 Years And Above","Female","8.7","09"
"2020","April-June","Haryana","15 Years And Above","Male","13.1","06"
"2021","July-September","Uttar Pradesh","All","Male","9.3","09"
"2021","January-March","All-India","All","Male","8.7","99"
"2020","April-June","Andhra Pradesh","15 Years And Above","Person","26.0","28"
"2020","July-September","Kerala","All","Person","18.9","32"
"2021","January-March","West Bengal","All","Male","5.1","19"
"2022","October-December","Kerala","15-29 Years","Person","28.5","32"
"2022","January-March","Himachal Pradesh","15-29 Years","Person","27.7","02"
"2019","July-September","Uttarakhand","15 Years And Above","Person","9.7","05"
"2022","July-September","Delhi","15 Years And Above","Person","4.1","07"
"2022","January-March","All-India","15 Years And Above","Person","8.2","99"
"2023","April-June","Karnataka","15-29 Years","Person","11.5","29"
"2020","July-September","Maharashtra","All","Female","29.8","27"
